Table	Table Title	Table Description	Indicator	Units	Year	Area	Age group	Location	Sex	Wealth quintile	Dimension	LivingArrangementsAndSurvivalStatusOfParents_LivingWithBothParents	LivingArrangementsAndSurvivalStatusOfParents_LivingWithMotherButNotWithFather(FatherAlive)	LivingArrangementsAndSurvivalStatusOfParents_LivingWithMohterButNotWithFather(FatherDead)	LivingArrangementsAndSurvivalStatusOfParents_LivingWithFatherButNotWithMother(MotherAlive)	LivingArrangementsAndSurvivalStatusOfParents_LivingWithFatherButNotWithMother(MotherDead)	LivingArrangementsAndSurvivalStatusOfParents_NotLivingWithEitherParent(BothAlive)	LivingArrangementsAndSurvivalStatusOfParents_NotLivingWithEitherParent(OnlyFatherAlive)	LivingArrangementsAndSurvivalStatusOfParents_NotLivingWithEitherParent(OnlyMotherAlive)	LivingArrangementsAndSurvivalStatusOfParents_NotLivingWithEitherParent(BothDead)	LivingArrangementsAndSurvivalStatusOfParents_NotLivingWithEitherParent(MissingInformationOnFather/Mother)	Total	FN
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Coast	<18 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	54.2	24.1	5.7	3.1	0.5	8.6	1	1	0.8	1.1	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	North Eastern	<18 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	63.9	16.4	3.5	3.1	0.8	9.3	1.3	0.9	0.5	0.4	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Eastern	<18 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	49.4	27.6	4.5	2	0.8	8.3	0.8	1.1	1.1	4.4	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Central	<18 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	58.2	23.2	4.1	2	0.9	6.3	0.6	1.1	0.5	3.2	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Rift Valley	<18 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	55.8	22.9	5.1	2.1	0.6	9.9	0.7	1	0.7	1.3	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Western	<18 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	49.5	19.7	3.8	3.7	0.7	16.1	1.6	2.1	1.3	1.6	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Nyanza	<18 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	52.1	16.6	8.8	2	1.2	9.2	1.4	3.2	3.3	2.1	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Nairobi	<18 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	67	17.6	4.7	2.3	1.1	4.1	0.5	0.7	0.8	1.2	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	<18 years	Total	Total	Lowest	LivingArrangementsAndSurvivalStatusOfParents	54.3	21.7	7.3	2.8	0.8	9	0.7	1.3	1	1.2	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	<18 years	Total	Total	Second	LivingArrangementsAndSurvivalStatusOfParents	52.3	21.7	6.4	2.5	1	9.7	1.2	1.6	1.4	2.2	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	<18 years	Total	Total	Middle	LivingArrangementsAndSurvivalStatusOfParents	51.1	23.2	5.3	2	0.7	10.6	1.1	1.8	1.5	2.7	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	<18 years	Total	Total	Fourth	LivingArrangementsAndSurvivalStatusOfParents	53.8	21.7	3.8	2.5	0.6	10.9	1.1	1.6	1.3	2.6	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	<18 years	Total	Total	Highest	LivingArrangementsAndSurvivalStatusOfParents	63.7	19.7	2.4	2.3	0.9	7.1	0.7	1.2	0.8	1.4	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	<15 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	56.1	22.3	4.7	2.3	0.7	9	0.9	1.3	1	1.8	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	<18 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	54.6	21.7	5.3	2.4	0.8	9.5	1	1.5	1.2	2	100	
