Table 11.10C Nutritional status of women
Among women age 15-49, the percentage with height under 145 cm, mean Body Mass Index (BMI), and the percentage with specific BMI levels, by county, Kenya 2014
County	Height		Body Mass Index1
	Percentage below 145 cm	Number of women	Mean Body Mass Index (BMI)	18.5-24.9 (Total normal)	<18.5 (Total thin)	17.0-18.4 (Mildly thin)	<17 (Moderately and severely thin)	≥25.0 (Total overweight or obese)	25.0-29.9 (Overweight)	≥30.0 (Obese)	Number of women
Rift Valley	0.5	3,651	23.1	59.6	11.8	8.0	3.8	28.6	20.8	7.8	3,349
Turkana	0.9	144	19.4	49.9	45.3	19.1	26.3	4.7	3.7	1.0	121
West Pokot	0.5	124	21.2	66.2	23.2	17.4	5.9	10.6	7.0	3.6	108
Samburu	0.6	57	19.9	50.9	41.0	22.5	18.4	8.1	5.3	2.9	51
Trans-Nzoia	0.2	343	23.0	63.9	7.4	5.9	1.5	28.7	21.5	7.2	316
Uasin Gishu	0.3	384	23.6	56.7	11.2	9.3	1.8	32.2	23.0	9.1	353
Elgeyo Marakwet	0.0	109	22.5	64.3	12.8	8.6	4.2	22.9	17.3	5.6	99
Nandi	0.3	286	22.8	67.9	8.4	6.1	2.2	23.7	16.7	7.0	269
Baringo	0.7	149	21.9	51.8	25.1	15.9	9.2	23.2	17.5	5.7	134
Laikipia	0.0	151	24.0	51.4	14.2	8.0	6.2	34.4	20.2	14.2	133
Nakuru	1.4	712	24.1	55.3	6.2	4.4	1.9	38.5	31.3	7.2	671
Narok	0.4	299	23.0	64.5	9.7	7.0	2.8	25.7	18.0	7.7	260
Kajiado	0.2	299	24.9	45.1	10.9	8.2	2.7	44.0	26.7	17.3	276
Kericho	0.0	266	23.1	69.7	6.4	4.3	2.0	23.9	16.8	7.1	249
Bomet	0.4	330	22.4	69.8	9.8	7.8	2.0	20.3	16.0	4.4	309
Western	0.4	1,551	23.0	67.0	8.6	6.8	1.8	24.4	18.6	5.8	1,431
Kakamega	0.8	540	23.3	65.1	7.7	6.5	1.2	27.3	19.8	7.5	500
Vihiga	1.0	175	23.4	65.4	8.3	6.9	1.4	26.4	19.3	7.0	163
Bungoma	0.0	561	22.9	66.9	9.0	6.8	2.1	24.1	19.1	5.0	513
Busia	0.3	275	22.2	72.0	9.8	7.2	2.5	18.3	14.9	3.4	256
Nyanza	0.5	1,865	23.3	67.2	6.3	5.0	1.3	26.5	19.8	6.8	1,729
Siaya	0.5	267	23.1	67.9	9.1	7.6	1.6	23.0	16.0	6.9	251
Kisumu	0.5	384	23.9	61.8	4.5	3.3	1.2	33.6	24.8	8.8	353
Homa Bay	0.3	353	22.6	74.1	7.1	5.4	1.7	18.8	14.7	4.1	330
Migori	0.2	291	22.9	65.0	8.1	6.3	1.8	26.9	22.4	4.5	256
Kisii	0.7	411	23.6	67.2	4.6	3.9	0.7	28.2	20.6	7.6	387
Nyamira	1.2	159	23.8	67.3	4.9	4.0	0.9	27.8	18.6	9.1	152
Nairobi	0.3	1,662	25.4	49.7	2.8	2.6	0.2	47.6	31.1	16.5	1,517
Total	0.8	14,265	23.7	58.3	8.9	6.4	2.5	32.8	22.7	10.1	13,143
Note: The Body Mass Index (BMI) is expressed as the ratio of weight in kilograms to the square of height in metres (kg/m2).
1 Excludes pregnant women and women with a birth in the preceding 2 months
