Table 11.1C Nutritional status of children
Percentage of children under five years classified as malnourished according to three anthropometric indices of nutritional status: height-for-age, weight-forheight, and weight-for-age, by county, Kenya 2014
County	Height-for-age1			Weight-for-height				Weight-for-age				Number of children
West Pokot	19.0	45.9	-1.8	2.4	14.3	1.4	-0.8	9.6	38.5	0.3	-1.5	286
Samburu	9.8	30.1	-1.3	2.8	13.6	0.6	-0.9	8.1	28.9	0.3	-1.4	112
Trans-Nzoia	10.7	29.2	-1.3	2.0	3.9	2.4	-0.1	3.9	15.3	0.6	-0.8	556
Uasin Gishu	11.1	31.2	-1.3	1.1	3.0	5.1	-0.0	2.8	11.5	0.7	-0.7	482
Elgeyo Marakwet	7.3	29.9	-1.4	1.2	4.3	4.5	-0.2	2.5	12.6	0.7	-0.9	170
Nandi	8.3	29.9	-1.3	1.0	3.9	3.7	-0.1	1.9	11.1	0.5	-0.8	405
Baringo	8.4	29.5	-1.4	1.2	6.9	2.0	-0.5	3.6	20.2	1.2	-1.1	233
Laikipia	7.4	26.9	-1.3	0.8	4.4	3.7	-0.1	2.8	13.9	0.8	-0.8	211
Nakuru	7.2	27.6	-1.2	0.6	4.5	5.7	0.1	2.8	10.2	1.5	-0.6	840
Narok	8.7	32.9	-1.4	0.7	2.4	3.0	-0.1	1.1	11.6	0.6	-0.9	628
Kajiado	7.1	18.2	-0.7	0.8	3.0	4.3	0.1	2.5	8.1	4.0	-0.4	400
Kericho	10.5	28.7	-1.3	1.1	5.6	6.6	0.1	3.5	12.4	1.4	-0.7	311
Bomet	10.7	35.5	-1.6	0.4	1.8	3.7	0.1	2.1	12.0	0.6	-0.8	472
Western	8.2	25.2	-1.1	0.4	1.9	3.4	0.1	1.5	9.0	1.3	-0.6	2,476
Kakamega	12.3	28.4	-1.3	0.5	1.8	4.3	0.2	2.2	10.1	1.2	-0.6	845
Vihiga	6.0	23.5	-1.1	0.4	2.6	4.0	0.2	1.4	5.9	0.9	-0.5	260
Bungoma	6.4	24.4	-1.1	0.2	1.8	2.9	0.1	0.9	9.0	1.8	-0.5	938
Busia	5.4	22.0	-1.1	0.7	2.2	2.4	0.1	1.8	9.0	0.8	-0.6	433
Nyanza	7.6	22.7	-1.0	0.4	2.0	4.4	0.2	1.3	7.4	2.0	-0.4	2,769
Siaya	7.1	24.7	-1.1	0.0	0.2	4.7	0.2	1.4	7.8	1.6	-0.4	423
Kisumu	6.9	18.0	-0.7	0.0	0.8	5.7	0.2	0.4	6.6	3.8	-0.2	492
Homa Bay	4.2	18.7	-0.7	0.9	2.3	4.1	0.2	1.3	5.4	2.6	-0.3	621
Migori	10.1	26.4	-1.1	0.9	4.0	4.4	0.2	1.6	8.6	1.5	-0.5	526
Kisii	9.3	25.5	-1.3	0.0	1.7	4.0	0.2	1.8	8.4	0.9	-0.6	511
Nyamira	10.1	25.5	-1.1	0.9	4.1	2.9	-0.0	2.0	9.6	0.5	-0.6	195
Nairobi	3.9	17.2	-0.7	0.8	2.5	5.3	0.2	1.2	3.8	1.7	-0.2	1,643
Total	8.1	26.0	-1.1	0.9	4.0	4.1	0.0	2.3	11.0	1.4	-0.6	18,986
Note: Table is based on children who stayed in the household on the night before the interview. Each of the indices is expressed in standard deviation units (SD) from the median of the WHO Child Growth Standards adopted in 2006. The indices in this table are NOT comparable to those based on the previously used NCHS/CDC/WHO reference.
Table is based on children with valid dates of birth (month and year) and valid measurement of both height and weight.
1 Recumbent length is measured for children under age 2, or in the few cases when the age of the child is unknown and the child is less than 87 cm; standing height is measured for all other children.
2 Includes children who are below -3 standard deviations (SD) from the WHO Child Growth standards population median
