Turkana	94.5	94.4	91.5	86.2	63.7	94.4	90.8	83.9	71.9	62.5	93.8	89.8	83.2	61.8	3.7	87.1	61
West Pokot	78.9	86.4	80.6	68.3	35.3	87.3	78.6	60.5	58.2	35.9	78.7	73.1	58.7	31.2	11.2	60.8	66
Samburu	96.8	93.2	89.7	86.9	48.4	96.6	92.6	87.9	71.7	66.6	94.5	89.6	84.8	64.1	1.4	79.4	23
Trans-Nzoia	100.0	100.0	98.1	77.8	56.8	100.0	98.3	89.8	84.8	71.5	93.3	91.3	73.0	63.9	0.0	64.7	105
Uasin Gishu	95.9	97.3	95.9	91.5	54.3	95.9	94.6	90.2	91.3	85.6	83.4	82.3	75.8	72.3	2.7	73.7	96
Elgeyo Marakwet	100.0	100.0	97.9	97.9	78.4	99.4	97.9	95.3	86.6	85.9	99.4	97.9	97.0	85.2	0.0	91.2	32
Nandi	99.4	100.0	100.0	99.4	69.1	100.0	100.0	99.4	97.5	96.3	99.4	99.4	99.4	96.3	0.0	92.1	82
Baringo	100.0	100.0	98.3	94.5	60.5	100.0	99.0	94.1	82.5	78.3	92.6	90.9	85.1	69.4	0.0	81.8	49
Laikipia	98.7	98.7	98.7	89.7	72.0	98.7	96.3	91.1	92.3	83.2	96.6	96.6	90.9	79.3	1.3	79.9	38
Nakuru	97.2	97.9	96.1	90.9	74.6	97.9	95.1	90.4	86.4	79.2	94.8	93.0	86.5	74.7	2.1	81.8	167
Narok	95.0	96.3	91.2	83.0	37.6	98.4	95.0	82.1	74.5	66.4	90.8	86.3	74.8	58.5	1.6	79.1	118
Kajiado	97.7	97.0	92.4	79.1	51.9	96.2	87.6	68.5	80.9	58.5	90.3	83.3	71.9	56.4	1.1	57.2	95
Kericho	100.0	100.0	100.0	95.7	81.0	100.0	100.0	93.0	82.9	76.3	94.2	92.9	88.3	71.8	0.0	84.5	67
Bomet	100.0	100.0	99.2	98.0	62.4	100.0	100.0	95.6	92.1	87.0	96.1	95.3	92.8	81.3	0.0	84.7	84
Western	95.9	96.8	95.4	90.2	52.1	97.8	96.2	91.2	85.7	81.4	94.1	92.3	87.3	77.8	2.2	74.6	419
Kakamega	94.9	98.9	94.9	89.5	43.4	98.9	94.9	89.5	80.1	77.3	97.6	94.6	86.2	73.1	1.1	77.0	125
Vihiga	98.3	98.3	98.3	97.0	75.0	98.3	98.3	94.4	98.3	94.4	98.3	98.3	97.0	94.4	1.7	72.9	48
Bungoma	95.3	95.0	95.0	88.9	51.3	96.2	95.7	90.5	84.3	80.8	89.1	88.2	83.7	75.9	3.8	71.7	187
Busia	98.0	96.9	95.3	90.4	54.1	100.0	98.4	94.1	92.2	81.6	98.9	95.5	92.7	80.4	0.0	80.0	59
Nyanza	95.6	98.5	98.0	89.7	70.6	98.7	97.5	90.9	85.3	77.2	93.6	90.7	82.8	72.8	1.0	72.4	552
Siaya	98.4	100.0	100.0	93.9	78.6	100.0	100.0	91.9	84.8	79.3	99.5	99.5	91.3	78.0	0.0	78.1	84
Kisumu	97.2	97.6	97.6	87.0	76.3	97.6	96.4	87.7	89.5	78.9	96.8	95.1	84.7	78.9	2.4	51.5	96
Homa Bay	94.5	97.9	97.2	82.3	64.8	97.9	95.3	84.7	80.3	69.0	90.9	84.6	74.7	64.4	2.1	73.9	131
Migori	87.6	99.6	97.7	89.9	39.9	98.9	96.9	92.4	82.0	70.3	87.4	82.1	71.2	57.2	0.4	69.0	102
Kisii	100.0	97.8	97.8	95.3	90.5	99.1	99.1	97.2	86.5	84.6	94.4	94.4	91.9	82.2	0.0	87.2	99
Nyamira	99.0	99.0	99.0	97.6	88.0	100.0	100.0	97.0	98.0	95.0	96.1	94.6	94.6	92.1	0.0	78.0	39
Nairobi	97.6	97.3	93.6	88.0	71.4	98.3	96.9	91.3	92.5	81.2	93.6	85.9	83.3	74.4	1.7	61.7	417
Total	96.7	97.5	95.8	89.9	66.2	98.0	96.1	90.0	87.1	79.4	93.7	90.8	85.1	74.9	1.6	74.7	3,777
Note: Figures in parentheses are based on 25-49 unweighted cases.
1 DPT-HepB-Hib is also called pentavalent.
2 Polio 0 is the polio vaccination given at birth. The data on polio vaccination were adjusted for a likely misinterpretation of polio 0 and polio 1; for children whose mothers reported that they received three doses of DPT-HepB-Hib and polio 0, polio 1, and polio 2, it was assumed that polio 0 was in fact polio 1, polio 1 was polio 2 and polio 2 was polio 3.
3 BCG, measles, and three doses each of DPT-HepB-Hib and polio vaccine (excluding polio vaccine given at birth)
4 BCG, measles, and three doses each of DPT-HepB-Hib, polio (excluding polio vaccine given at birth), and pneumococcal vaccine
