Table 9.6C Assistance during delivery
Percent distribution of live births in the five years preceding the survey by person providing assistance during delivery, percentage of birth assisted by a skilled provider and percentage delivered by caesarean-section, according to county, Kenya 2014
County	Person providing assistance during delivery									Percentage delivered by a skilled provider1	Percentage delivered by C-section	Number of births
Central	55.4	34.3	0.2	0.9	5.8	0.4	2.9	0.1	100.0	89.7	15.7	1,796
Nyandarua	47.7	37.6	0.0	0.7	9.1	0.5	4.2	0.1	100.0	85.3	9.0	248
Nyeri	56.1	32.0	1.1	0.2	4.8	0.8	5.0	0.0	100.0	88.1	13.5	249
Kirinyaga	41.3	50.9	0.0	1.6	4.9	0.4	0.4	0.5	100.0	92.3	15.3	197
Murang’a	64.9	20.6	0.0	0.5	10.4	0.0	3.6	0.0	100.0	85.5	11.7	308
Kiambu	57.4	35.2	0.0	1.2	3.5	0.4	2.3	0.0	100.0	92.6	20.1	794
Rift Valley	22.2	29.0	0.3	20.9	21.2	1.2	4.9	0.3	100.0	51.3	5.6	5,677
Turkana	0.8	22.0	0.1	7.4	49.9	5.0	14.4	0.3	100.0	22.8	0.5	347
West Pokot	8.2	18.7	0.0	69.4	2.6	0.1	0.2	0.7	100.0	27.0	2.2	302
Samburu	3.8	25.3	0.0	5.7	52.7	2.4	9.7	0.4	100.0	29.0	2.9	117
Trans-Nzoia	26.5	15.3	0.6	34.3	13.6	0.3	9.5	0.1	100.0	41.8	5.3	528
Uasin Gishu	29.7	29.3	0.2	30.6	7.4	0.4	2.4	0.0	100.0	59.0	4.8	483
Elgeyo Marakwet	12.3	52.8	0.0	31.9	2.6	0.3	0.1	0.1	100.0	65.0	3.5	168
Nandi	5.6	41.1	0.0	44.9	6.0	0.0	2.4	0.0	100.0	46.8	2.8	402
Baringo	9.5	44.3	0.0	16.4	25.7	2.1	2.1	0.0	100.0	53.8	5.2	238
Laikipia	22.8	26.7	0.0	5.5	37.4	0.6	6.4	0.6	100.0	49.5	6.5	209
Nakuru	34.1	35.3	0.0	7.3	18.8	0.8	3.4	0.2	100.0	69.5	6.9	909
Narok	12.9	27.4	1.0	17.8	34.4	0.9	5.5	0.1	100.0	40.3	5.1	638
Kajiado	40.2	23.0	0.0	13.7	21.4	0.2	1.3	0.2	100.0	63.2	11.1	461
Kericho	35.6	28.7	0.1	18.7	7.3	6.5	2.4	0.6	100.0	64.4	10.3	373
Bomet	24.6	27.6	0.9	3.8	33.8	0.0	8.6	0.8	100.0	52.2	4.8	502
Western	11.2	36.6	0.2	30.9	9.1	1.2	10.5	0.3	100.0	47.8	4.3	2,255
Kakamega	15.3	33.4	0.7	30.1	11.2	0.9	8.1	0.3	100.0	48.6	3.1	747
Vihiga	16.6	33.7	0.0	27.5	8.7	0.0	12.8	0.7	100.0	50.3	6.6	229
Bungoma	6.6	34.8	0.0	35.4	8.5	2.1	12.5	0.2	100.0	41.4	5.0	870
Busia	10.7	47.8	0.0	24.4	7.2	0.3	9.4	0.2	100.0	58.5	4.0	409
Nyanza	11.4	53.6	0.9	19.5	7.2	1.5	5.0	0.9	100.0	65.0	5.1	2,790
Siaya	3.7	66.7	2.6	11.2	4.3	0.4	8.8	2.2	100.0	70.4	4.3	391
Kisumu	20.0	49.2	0.0	25.0	1.8	1.0	2.6	0.4	100.0	69.2	6.8	500
Homa Bay	12.7	47.6	1.1	28.9	2.0	1.0	5.6	0.9	100.0	60.4	3.1	658
Migori	5.7	47.7	0.7	28.6	7.0	3.2	6.7	0.4	100.0	53.4	6.5	565
Kisii	15.2	57.6	0.0	3.8	18.5	1.5	3.1	0.3	100.0	72.8	5.3	482
Nyamira	7.5	66.6	1.5	2.2	16.5	0.8	2.0	2.9	100.0	74.1	5.2	195
Nairobi	53.4	35.7	0.3	5.5	2.8	0.8	1.3	0.3	100.0	89.1	20.7	2,051
Total	26.2	35.6	0.3	19.4	12.5	0.9	4.6	0.4	100.0	61.8	8.7	19,564
Note: If the respondent mentioned more than one person attending during delivery, only the most qualified person is considered in this tabulation.
1 Skilled provider includes doctor, nurse, or midwife.
