Table 17.20: New Identity Card Applications Made, Produced and Collected by County, 2013 - 2017
Number
2013	2014	2015	2016	2017* 2013	2014	2015	2016	2017* 2013	2014	2015	2016	2017*
Nakuru	31,589	45,660	55,237	76,607	59,682	34,782	32,579	36,520	62,504	60,685	32,970	32,800	42,429	56,198	57,533
Narok	12,664	15,549	21,469	30,753	23,007	22,101	12,517	9,897	31,614	29,905	17,831	8,529	9,310	27,515	25,886
Kajiado	6,451	8,759	10,259	18,529	19,447	18,209	13,349	13,454	20,600	18,430	7,897	6,475	14,334	15,152	18,179
Kericho	21,329	23,160	23,077	30,801	28,353	11,586	14,450	16,928	23,979	30,260	22,611	17,509	28,171	23,086	29,638
Bomet	11,029	13,896	15,009	24,076	27,136	16,113	12,823	14,767	22,741	28,717	11,598	9,620	14,743	19,357	29,545
Kakamega	44,652	55,590	50,910	59,574	62,483	45,618	39,908	44,432	55,388	59,022	44,719	41,456	38,417	51,356	58,715
Vihiga	13,653	18,932	17,352	19,812	17,932	45,584	12,291	15,107	19,585	19,481	12,782	12,972	11,941	14,093	18,104
Bungoma	40,551	43,971	47,915	55,514	53,513	23,145	39,086	30,013	52,781	50,665	34,669	26,511	25,117	42,983	50,029
Bus ia	18,511	21,667	28,017	30,280	25,726	15,256	21,098	21,377	33,511	30,074	20,052	15,381	16,329	32,681	32,577
Siaya	20,591	25,457	35,071	45,097	35,677	34,866	19,430	26,613	41,453	36,528	24,558	19,003	25,691	38,887	34,140
Kisumu	26,429	27,123	37,333	39,774	46,898	25,644	21,711	27,062	39,613	43,027	29,627	20,500	26,652	35,158	40,842
Homabay	15,360	23,987	33,553	34,782	43,788	20,814	18,321	26,903	36,599	43,094	22,688	17,299	23,640	33,881	38,296
Migori	23,001	23,594	33,279	40,649	37,348	30,507	18,047	20,014	41,090	34,270	24,241	14,003	18,263	36,770	31,805
Kis ii	22,298	31,799	32,752	40,140	40,732	20,887	22,662	27,739	40,567	38,418	31,316	21,890	24,230	37,381	41,478
Nyamira	13,951	20,617	23,066	24,085	22,443	15,758	14,347	16,237	19,506	18,824	15,238	14,780	14,072	18,342	18,010
Nairobi City	51,950	56,275	61,150	74,233	71,316	53,901	47,901	53,470	75,273	69,203	58,840	70,248	49,554	78,569	69,095
Foreign Office1	127	469	668	532	654	127	469	668	532	654
Total 841,629	913,087	1,097,267	1,529,421	1,233,268	954,217	738,064	816,477	1,431,094	1,322,747	899,582	710,042	766,670	1,241,637	1,263,510
Source: National Registration Bureau
NPR - Not Prev iously Registred
These are produced in Nairobi for Kenyans abroad who applied through foreign of f
