"TableTitle"	"Variable"	"Units"	"Year"	"Age.group"	"Education.level"	"Residence"	"Region"	"Wealth.quintle"	"Value"
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"North Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"North Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"North Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"North Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"North Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"North Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Nyanza"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Nyanza"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Nyanza"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Nyanza"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Nyanza"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Nyanza"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Rift Valley"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Rift Valley"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Rift Valley"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Rift Valley"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Rift Valley"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Rift Valley"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Total"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Total"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Total"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Total"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Total"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Total"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Western"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Western"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Western"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Western"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Western"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Western"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Central"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Central"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Central"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Central"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Central"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Central"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Coast"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Coast"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Coast"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Coast"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Coast"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Coast"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Nairobi"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Nairobi"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Nairobi"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Nairobi"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Nairobi"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Nairobi"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"North Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"North Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"North Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"North Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"North Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"North Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Nyanza"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Nyanza"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Nyanza"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Nyanza"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Nyanza"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Nyanza"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Rift Valley"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Rift Valley"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Rift Valley"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Rift Valley"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Rift Valley"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Rift Valley"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Total"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Total"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Total"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Total"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Total"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Total"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Western"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Western"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Western"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Western"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Western"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Urban"	"Western"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Central"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Central"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Central"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Central"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Central"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Central"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Coast"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Coast"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Coast"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Coast"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Coast"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Coast"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Eastern"	"Highest"	
