"TableTitle"	"Variable"	"Units"	"Year"	"Age.group"	"Sex"	"Education.level"	"Residence"	"Region"	"Wealth.quintle"	"Value"	"Number.of.persons"
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Eastern"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Eastern"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Eastern"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Eastern"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Eastern"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Eastern"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Nairobi"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Nairobi"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Nairobi"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Nairobi"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Nairobi"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Nairobi"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"North Eastern"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"North Eastern"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"North Eastern"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"North Eastern"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"North Eastern"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"North Eastern"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Nyanza"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Nyanza"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Nyanza"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Nyanza"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Nyanza"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Nyanza"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Rift Valley"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Rift Valley"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Rift Valley"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Rift Valley"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Rift Valley"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Rift Valley"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Total"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Total"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Total"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Total"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Total"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Total"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Western"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Western"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Western"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Western"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Western"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Rural"	"Western"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Central"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Central"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Central"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Central"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Central"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Central"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Coast"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Coast"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Coast"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Coast"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Coast"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Coast"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Eastern"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Eastern"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Eastern"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Eastern"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Eastern"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Eastern"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Nairobi"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Nairobi"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Nairobi"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Nairobi"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Nairobi"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Nairobi"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"North Eastern"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"North Eastern"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"North Eastern"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"North Eastern"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"North Eastern"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"North Eastern"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Nyanza"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Nyanza"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Nyanza"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Nyanza"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Nyanza"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Nyanza"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Rift Valley"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Rift Valley"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Rift Valley"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Rift Valley"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Rift Valley"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Rift Valley"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Total"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Total"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Total"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Total"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Total"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Total"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Western"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Western"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Western"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Western"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Western"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Total"	"Western"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Central"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Central"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Central"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Central"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Central"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Central"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Coast"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Coast"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Coast"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Coast"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Coast"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Coast"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Eastern"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Eastern"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Eastern"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Eastern"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Eastern"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Eastern"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Nairobi"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Nairobi"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Nairobi"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Nairobi"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Nairobi"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"Completed primary"	"Urban"	"Nairobi"	"Total"		
