"TableTitle"	"Variable"	"Units"	"Year"	"Age.group"	"Sex"	"Residence"	"Value"	"Number.of.persons"
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"10-14"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"10-14"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"10-14"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"10-14"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"15-19"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"15-19"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"15-19"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"15-19"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"15-19"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"15-19"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"15-19"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"15-19"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"15-19"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"20-24"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"20-24"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"20-24"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"20-24"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"20-24"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"20-24"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"20-24"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"20-24"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"20-24"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"25-29"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"25-29"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"25-29"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"25-29"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"25-29"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"25-29"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"25-29"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"25-29"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"25-29"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"30-34"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"30-34"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"30-34"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"30-34"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"30-34"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"30-34"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"30-34"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"30-34"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"30-34"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"35-39"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"35-39"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"35-39"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"35-39"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"35-39"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"35-39"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"35-39"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"35-39"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"35-39"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"40-44"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"40-44"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"40-44"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"40-44"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"40-44"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"40-44"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"40-44"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"40-44"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"40-44"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"45-49"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"45-49"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"45-49"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"45-49"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"45-49"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"45-49"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"45-49"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"45-49"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"45-49"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"5-9"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"5-9"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"5-9"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"5-9"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"5-9"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"5-9"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"5-9"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"5-9"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"5-9"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"50-54"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"50-54"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"50-54"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"50-54"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"50-54"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"50-54"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"50-54"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"50-54"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"50-54"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"55-59"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"55-59"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"55-59"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"55-59"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"55-59"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"55-59"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"55-59"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"55-59"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"55-59"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"60-64"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"60-64"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"60-64"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"60-64"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"60-64"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"60-64"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"60-64"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"60-64"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"60-64"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"65-69"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"65-69"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"65-69"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"65-69"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"65-69"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"65-69"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"65-69"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"65-69"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"65-69"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"70-74"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"70-74"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"70-74"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"70-74"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"70-74"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"70-74"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"70-74"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"70-74"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"70-74"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"75-79"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"75-79"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"75-79"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"75-79"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"75-79"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"75-79"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"75-79"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"75-79"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"75-79"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"80+"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"80+"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"80+"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"80+"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"80+"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"80+"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"80+"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"80+"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"80+"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"Total"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"Total"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"Total"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"Total"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"Total"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"Total"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"Total"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"Total"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"Total"	"Total"	"Urban"		
