"TableTitle"	"Variable"	"Units"	"Year"	"Age.group"	"Sex"	"Residence"	"Region"	"Wealth.quintle"	"Value"	"Number.of.children"
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Western"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Western"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Western"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Western"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Western"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Western"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Central"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Central"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Central"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Central"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Central"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Central"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Coast"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Coast"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Coast"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Coast"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Coast"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Coast"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Eastern"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Eastern"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Eastern"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Eastern"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Eastern"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Eastern"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Nairobi"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Nairobi"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Nairobi"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Nairobi"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Nairobi"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Nairobi"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"North Eastern"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"North Eastern"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"North Eastern"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"North Eastern"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"North Eastern"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"North Eastern"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Nyanza"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Nyanza"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Nyanza"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Nyanza"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Nyanza"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Nyanza"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Rift Valley"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Rift Valley"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Rift Valley"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Rift Valley"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Rift Valley"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Rift Valley"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Total"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Total"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Total"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Total"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Total"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Total"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Western"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Western"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Western"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Western"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Western"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Total"	"Western"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Central"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Central"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Central"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Central"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Central"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Central"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Coast"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Coast"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Coast"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Coast"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Coast"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Coast"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Eastern"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Eastern"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Eastern"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Eastern"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Eastern"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Eastern"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Nairobi"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Nairobi"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Nairobi"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Nairobi"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Nairobi"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Nairobi"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"North Eastern"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"North Eastern"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"North Eastern"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"North Eastern"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"North Eastern"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"North Eastern"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Nyanza"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Nyanza"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Nyanza"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Nyanza"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Nyanza"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Nyanza"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Rift Valley"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Rift Valley"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Rift Valley"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Rift Valley"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Rift Valley"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Rift Valley"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Total"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Total"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Total"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Total"	"Middle"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Total"	"Second"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Total"	"Total"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Western"	"Fourth"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Western"	"Highest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Western"	"Lowest"		
"Table 2.11 Childrenâ€™s living arrangements and orphanhood"	"Percentage of children with one or both parents dead"	"percent"	"2014"	"<2"	"Female"	"Urban"	"Western"	"Middle"		
