"TableTitle"	"Variable"	"Units"	"Year"	"Sex.of.household.headship"	"Residence"	"Household.size..number.of.usual.members."	"Value"	"Number.of.households"
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Total"	"6"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Total"	"7"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Total"	"8"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Total"	"9+"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Total"	"Total"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Urban"	"0"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Urban"	"1"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Urban"	"2"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Urban"	"3"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Urban"	"4"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Urban"	"5"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Urban"	"6"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Urban"	"7"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Urban"	"8"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Urban"	"9+"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Urban"	"Total"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Rural"	"0"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Rural"	"1"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Rural"	"2"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Rural"	"3"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Rural"	"4"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Rural"	"5"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Rural"	"6"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Rural"	"7"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Rural"	"8"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Rural"	"9+"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Rural"	"Total"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Total"	"0"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Total"	"1"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Total"	"2"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Total"	"3"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Total"	"4"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Total"	"5"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Total"	"6"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Total"	"7"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Total"	"8"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Total"	"9+"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Total"	"Total"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Urban"	"0"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Urban"	"1"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Urban"	"2"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Urban"	"3"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Urban"	"4"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Urban"	"5"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Urban"	"6"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Urban"	"7"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Urban"	"8"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Urban"	"9+"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Total"	"Urban"	"Total"		
