"TableTitle"	"Variable"	"Units"	"Year"	"Residence"	"Possession"	"Value"	"Number.of.households"
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Ownership of dwelling"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Ownership of farm animals"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Ownership of land on which dwelling is built"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Radio"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Refrigerator"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Sofa"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Solar panel"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Table"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Television"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Watch"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Animal drawn cart"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Bed"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Bicycle"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Boat with a motor"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Car/truck"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Cassette or CD player"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Chair"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Clock"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Cupboard"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"DVD player"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Microwave oven"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Mobile telephone"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Motorcycle/scooter"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Non-mobile telephone"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Ownership of agricultural land"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Ownership of dwelling"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Ownership of farm animals"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Ownership of land on which dwelling is built"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Radio"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Refrigerator"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Sofa"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Solar panel"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Table"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Television"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Urban"	"Watch"		
