"TableTitle"	"Variable"	"Units"	"Year"	"Residence"	"Region"	"Wealth.quintle"	"Food.consumption.score.group"	"Value"	"Number.of.households.with.valid.food.consumption.score"
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Second"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Total"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Total"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Total"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Total"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Fourth"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Fourth"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Fourth"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Fourth"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Highest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Highest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Highest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Highest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Lowest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Lowest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Lowest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Lowest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Middle"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Middle"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Middle"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Middle"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Second"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Second"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Second"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Second"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Total"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Total"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Total"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Coast"	"Total"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Fourth"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Fourth"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Fourth"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Fourth"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Highest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Highest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Highest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Highest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Lowest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Lowest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Lowest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Lowest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Middle"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Middle"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Middle"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Middle"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Second"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Second"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Second"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Second"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Total"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Total"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Total"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Eastern"	"Total"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Fourth"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Fourth"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Fourth"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Fourth"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Highest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Highest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Highest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Highest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Lowest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Lowest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Lowest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Lowest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Middle"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Middle"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Middle"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Middle"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Second"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Second"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Second"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Second"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Total"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Total"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Total"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nairobi"	"Total"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Fourth"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Fourth"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Fourth"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Fourth"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Highest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Highest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Highest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Highest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Lowest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Lowest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Lowest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Lowest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Middle"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Middle"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Middle"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Middle"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Second"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Second"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Second"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Second"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Total"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Total"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Total"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"North Eastern"	"Total"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Fourth"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Fourth"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Fourth"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Fourth"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Highest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Highest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Highest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Highest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Lowest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Lowest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Lowest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Lowest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Middle"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Middle"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Middle"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Middle"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Second"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Second"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Second"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Second"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Total"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Total"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Total"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Nyanza"	"Total"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Fourth"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Fourth"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Fourth"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Fourth"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Highest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Highest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Highest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Highest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Lowest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Lowest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Lowest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Lowest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Middle"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Middle"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Middle"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Middle"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Second"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Second"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Second"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Second"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Total"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Total"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Total"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Rift Valley"	"Total"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Fourth"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Fourth"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Fourth"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Fourth"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Highest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Highest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Highest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Highest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Lowest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Lowest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Lowest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Lowest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Middle"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Middle"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Middle"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Middle"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Second"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Second"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Second"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Second"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Total"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Total"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Total"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Total"	"Total"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Western"	"Fourth"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Western"	"Fourth"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Western"	"Fourth"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Western"	"Fourth"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Western"	"Highest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Western"	"Highest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Western"	"Highest"	"Poor"		
