"TableTitle"	"Variable"	"Units"	"Year"	"Age.group"	"Sex"	"Residence"	"Region"	"Wealth.quintle"	"Possession.of.birth.certificate"	"Value"	"Number.of.children"
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Coast"	"Middle"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Coast"	"Middle"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Coast"	"Second"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Coast"	"Second"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Coast"	"Second"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Coast"	"Total"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Coast"	"Total"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Coast"	"Total"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Fourth"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Fourth"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Fourth"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Highest"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Highest"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Highest"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Lowest"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Lowest"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Lowest"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Middle"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Middle"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Middle"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Second"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Second"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Second"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Total"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Total"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Eastern"	"Total"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Fourth"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Fourth"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Fourth"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Highest"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Highest"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Highest"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Lowest"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Lowest"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Lowest"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Middle"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Middle"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Middle"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Second"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Second"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Second"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Total"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Total"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nairobi"	"Total"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Fourth"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Fourth"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Fourth"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Highest"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Highest"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Highest"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Lowest"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Lowest"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Lowest"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Middle"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Middle"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Middle"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Second"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Second"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Second"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Total"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Total"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"North Eastern"	"Total"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Fourth"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Fourth"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Fourth"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Highest"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Highest"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Highest"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Lowest"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Lowest"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Lowest"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Middle"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Middle"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Middle"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Second"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Second"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Second"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Total"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Total"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Nyanza"	"Total"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Fourth"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Fourth"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Fourth"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Highest"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Highest"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Highest"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Lowest"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Lowest"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Lowest"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Middle"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Middle"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Middle"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Second"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Second"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Second"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Total"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Total"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Rift Valley"	"Total"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Fourth"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Fourth"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Fourth"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Highest"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Highest"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Highest"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Lowest"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Lowest"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Lowest"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Middle"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Middle"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Middle"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Second"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Second"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Second"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Total"	"No"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Total"	"Total"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Total"	"Total"	"Yes"		
"Table 2.10 Birth registration of children under age five"	"Percentage of de jure children under five years of age whose births are registered with the civil authorities"	"percent"	"2014"	"<2"	"Female"	"Rural"	"Western"	"Fourth"	"No"		
