"TableTitle"	"Variable"	"Units"	"Year"	"Age.group"	"Sex"	"Education.level"	"Residence"	"Region"	"Wealth.quintle"	"Value"
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Rift Valley"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Total"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Total"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Total"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Total"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Total"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Total"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Western"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Western"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Western"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Western"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Western"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Western"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Central"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Central"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Central"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Central"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Central"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Central"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Coast"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Coast"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Coast"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Coast"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Coast"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Coast"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Nairobi"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Nairobi"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Nairobi"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Nairobi"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Nairobi"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Nairobi"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"North Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"North Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"North Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"North Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"North Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"North Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Nyanza"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Nyanza"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Nyanza"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Nyanza"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Nyanza"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Nyanza"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Rift Valley"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Rift Valley"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Rift Valley"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Rift Valley"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Rift Valley"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Rift Valley"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Total"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Total"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Total"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Total"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Total"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Total"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Western"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Western"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Western"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Western"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Western"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Total"	"Western"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Central"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Central"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Central"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Central"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Central"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Central"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Coast"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Coast"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Coast"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Coast"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Coast"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Coast"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Nairobi"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Nairobi"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Nairobi"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Nairobi"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Nairobi"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Nairobi"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"North Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"North Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"North Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"North Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"North Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"North Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Nyanza"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Nyanza"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Nyanza"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Nyanza"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Nyanza"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Nyanza"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Rift Valley"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Rift Valley"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Rift Valley"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Rift Valley"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Rift Valley"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Rift Valley"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Total"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Total"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Total"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Total"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Total"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Total"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Western"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Urban"	"Western"	"Highest"	
